Instance Name, CC2 Result, CC2 (Concurrent Enabled) Result
./nestedMerge/EQ_pos3EXTRA_ultra_prime_sum/libA , equiv; 83.541200, equiv; 58.517200
./nestedMerge/EQ_posEQ_Add/libA , equiv; 0.242000, equiv; 0.428200
./nestedMerge/EQ_posEQ_Const/libA , equiv; 0.239400, equiv; 0.443000
./nestedMerge/EQ_posEQ_LoopMult20/libA , equiv; 0.515600, equiv; 0.868800
./nestedMerge/EQ_posEQ_LoopUnreach20/libA , equiv; 0.535300, equiv; 0.832000
./nestedMerge/EQ_posEQ_UnchLoop/libA , equiv; 0.275100, equiv; 0.463200
./nestedMerge/EQ_posEQ_divide/libA , equiv; 0.334800, equiv; 0.446500
./nestedMerge/EQ_posEQ_getSign2/libA , equiv; 0.501700, equiv; 0.849400
./nestedMerge/EQ_posEQ_is_prime1/libA , equiv; 0.509100, equiv; 0.773200
./nestedMerge/EQ_posEQ_is_prime2/libA , equiv; 0.642900, equiv; 1.065000
./nestedMerge/EQ_posEQ_is_prime3/libA , equiv; 4.044600, equiv; 4.400800
./nestedMerge/EQ_posEQ_ltfive/libA , not equiv; 1.099900, not equiv; 1.857000
./nestedMerge/EQ_posEQ_ltfiveBound/libA , equiv; 0.905600, equiv; 1.251600
./nestedMerge/EQ_posEQ_multiple/libA , not equiv; 1.286600, not equiv; 1.925200
./nestedMerge/EQ_posEQ_multipleBound/libA , equiv; 0.958700, equiv; 1.289100
./nestedMerge/EQ_posEQ_odd/libA , equiv; 25.466600, equiv; 33.267500
./nestedMerge/EQ_posEQ_one/libA , not equiv; 0.965100, not equiv; 1.483500
./nestedMerge/EQ_posEQ_oneBound/libA , equiv; 0.829100, equiv; 1.057400
./nestedMerge/EQ_posEQ_oneN2/libA , not equiv; 1.052800, not equiv; 1.605900
./nestedMerge/EQ_posEQ_pos/libA , equiv; 23.566700, equiv; 24.924200
./nestedMerge/EQ_posEQ_pos2/libA , equiv; 0.411000, equiv; 0.612000
./nestedMerge/EQ_posEQ_pos3/libA , equiv; 0.291300, equiv; 0.503200
./nestedMerge/EQ_posEXTRA_ultra_prime_sum/libA , equiv; 146.782900, equiv; 100.029100
./nestedMerge/EQ_posNEQ_LoopMult20/libA , equiv; 0.461500, equiv; 0.731000
./nestedMerge/EQ_posNEQ_LoopUnreach20/libA , equiv; 0.418700, equiv; 0.728800
./nestedMerge/EQ_posNEQ_getSign/libA , not equiv; 0.602700, not equiv; 1.178700
./nestedMerge/EXTRA_ultra_prime_sumEQ_Add/libA , equiv; 0.310600, equiv; 0.420400
./nestedMerge/EXTRA_ultra_prime_sumEQ_Const/libA , equiv; 0.356000, equiv; 0.428900
./nestedMerge/EXTRA_ultra_prime_sumEQ_LoopMult20/libA , equiv; 3.330200, equiv; 3.128300
./nestedMerge/EXTRA_ultra_prime_sumEQ_LoopUnreach20/libA , equiv; 2.132300, equiv; 2.237200
./nestedMerge/EXTRA_ultra_prime_sumEQ_UnchLoop/libA , equiv; 80.619400, equiv; 40.881400
./nestedMerge/EXTRA_ultra_prime_sumEQ_divide/libA , equiv; 0.840500, equiv; 0.826800
./nestedMerge/EXTRA_ultra_prime_sumEQ_getSign2/libA , equiv; 5.456500, equiv; 4.177500
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime1/libA , equiv; 5.328500, equiv; 4.419200
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime2/libA , timeout; 300.000000, timeout; 300.000000
./nestedMerge/EXTRA_ultra_prime_sumEQ_is_prime3/libA , equiv; 16.957500, equiv; 4.113400
./nestedMerge/EXTRA_ultra_prime_sumEQ_ltfive/libA , equiv; 62.680700, equiv; 71.717000
./nestedMerge/EXTRA_ultra_prime_sumEQ_ltfiveBound/libA , equiv; 1.755500, equiv; 2.072700
./nestedMerge/EXTRA_ultra_prime_sumEQ_multiple/libA , equiv; 87.488900, equiv; 82.297400
./nestedMerge/EXTRA_ultra_prime_sumEQ_multipleBound/libA , equiv; 2.037800, equiv; 2.407600
./nestedMerge/EXTRA_ultra_prime_sumEQ_odd/libA , equiv; 24.180000, equiv; 14.110200
./nestedMerge/EXTRA_ultra_prime_sumEQ_one/libA , not equiv; 2.265000, not equiv; 2.390100
./nestedMerge/EXTRA_ultra_prime_sumEQ_oneBound/libA , equiv; 1.323000, equiv; 1.640100
./nestedMerge/EXTRA_ultra_prime_sumEQ_oneN2/libA , equiv; 30.311200, equiv; 30.481000
./nestedMerge/EXTRA_ultra_prime_sumEQ_pos/libA , equiv; 33.038800, equiv; 23.081800
./nestedMerge/EXTRA_ultra_prime_sumEQ_pos2/libA , equiv; 0.776100, equiv; 0.913900
./nestedMerge/EXTRA_ultra_prime_sumEQ_pos3/libA , equiv; 1.997700, equiv; 2.177500
./nestedMerge/EXTRA_ultra_prime_sumEXTRA_ultra_prime_sum/libA , equiv; 139.873200, equiv; 90.082800
./nestedMerge/EXTRA_ultra_prime_sumNEQ_LoopMult20/libA , equiv; 58.945200, equiv; 61.001500
./nestedMerge/EXTRA_ultra_prime_sumNEQ_LoopUnreach20/libA , not equiv; 4.147400, not equiv; 6.991500
./nestedMerge/EXTRA_ultra_prime_sumNEQ_getSign/libA , not equiv; 0.930500, not equiv; 1.558200
./nestedMerge/NEQ_LoopMult20EQ_LoopMult20/libA , equiv; 1.570700, equiv; 1.565100
./nestedMerge/NEQ_LoopMult20EQ_UnchLoop/libA , equiv; 40.266200, equiv; 40.295300
./nestedMerge/NEQ_LoopMult20EQ_odd/libA , equiv; 1.214900, equiv; 1.212600
./nestedMerge/NEQ_LoopMult20EQ_pos/libA , equiv; 0.762300, equiv; 1.179400
./nestedMerge/NEQ_LoopMult20EQ_pos2/libA , equiv; 0.273900, equiv; 0.460100
./nestedMerge/NEQ_LoopMult20EXTRA_ultra_prime_sum/libA , equiv; 86.099100, equiv; 54.757600
./nestedMerge/NEQ_LoopUnreach20EQ_LoopMult20/libA , equiv; 2.191900, equiv; 1.985500
./nestedMerge/NEQ_LoopUnreach20EQ_UnchLoop/libA , equiv; 40.334300, equiv; 40.565500
./nestedMerge/NEQ_LoopUnreach20EQ_odd/libA , equiv; 2.981200, equiv; 2.911700
./nestedMerge/NEQ_LoopUnreach20EQ_pos/libA , equiv; 1.464500, equiv; 1.588900
./nestedMerge/NEQ_LoopUnreach20EQ_pos2/libA , equiv; 0.761400, equiv; 0.813300
./nestedMerge/NEQ_LoopUnreach20EXTRA_ultra_prime_sum/libA , equiv; 101.288600, equiv; 70.034400
./nestedMerge/NEQ_getSignEQ_LoopMult20/libA , equiv; 5.027100, equiv; 4.359500
./nestedMerge/NEQ_getSignEQ_UnchLoop/libA , equiv; 40.776200, equiv; 40.781900
./nestedMerge/NEQ_getSignEQ_odd/libA , equiv; 15.575000, equiv; 15.718500
./nestedMerge/NEQ_getSignEQ_pos/libA , equiv; 12.949800, equiv; 13.220500
./nestedMerge/NEQ_getSignEQ_pos2/libA , equiv; 0.675400, equiv; 0.706900
./nestedMerge/NEQ_getSignEXTRA_ultra_prime_sum/libA , equiv; 103.208700, equiv; 74.872600
./mergedHard/EQ_AddEQ_LoopMult20/libA , equiv; 0.181600, equiv; 0.357600
./mergedHard/EQ_AddEQ_UnchLoop/libA , equiv; 0.157800, equiv; 0.337600
