Instance Name, CC2 Result, CLEVER Result, Reve Result
./multLibs/EQ_oneBound/14 , equiv; 26.690000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_oneBound/15 , equiv; 29.730000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_oneBound/2 , equiv; 0.870000, equiv; 0.500000, equiv; 0.140000
./multLibs/EQ_oneBound/3 , equiv; 1.290000, equiv; 1.190000, equiv; 2.130000
./multLibs/EQ_oneBound/4 , equiv; 2.030000, equiv; 5.090000, equiv; 71.850000
./multLibs/EQ_oneBound/5 , equiv; 3.890000, equiv; 28.900000, timeout; 300.000000
./multLibs/EQ_oneBound/6 , equiv; 11.600000, equiv; 169.390000, timeout; 300.000000
./multLibs/EQ_oneBound/7 , equiv; 13.690000, timeout; 300.000000, unknown; 116.990000
./multLibs/EQ_oneBound/8 , equiv; 14.770000, timeout; 300.000000, unknown; 118.290000
./multLibs/EQ_oneBound/9 , equiv; 16.080000, timeout; 300.000000, unknown; 124.290000
./multLibs/EQ_oneN2/1 , not equiv; 0.930000, not equiv; 0.340000, equiv; 0.030000
./multLibs/EQ_oneN2/10 , not equiv; 17.040000, not equiv; 159.740000, equiv; 138.060000
./multLibs/EQ_oneN2/11 , not equiv; 18.390000, not equiv; 161.680000, timeout; 300.000000
./multLibs/EQ_oneN2/12 , not equiv; 20.060000, not equiv; 166.590000, timeout; 300.000000
./multLibs/EQ_oneN2/13 , not equiv; 21.940000, not equiv; 202.630000, timeout; 300.000000
./multLibs/EQ_oneN2/14 , not equiv; 42.810000, not equiv; 273.650000, timeout; 300.000000
./multLibs/EQ_oneN2/15 , not equiv; 26.460000, timeout; 300.000000, unknown; 181.610000
./multLibs/EQ_oneN2/2 , not equiv; 1.170000, not equiv; 0.410000, equiv; 0.040000
./multLibs/EQ_oneN2/3 , not equiv; 1.560000, not equiv; 0.530000, equiv; 0.060000
./multLibs/EQ_oneN2/4 , not equiv; 1.960000, not equiv; 0.580000, equiv; 0.120000
./multLibs/EQ_oneN2/5 , not equiv; 2.970000, not equiv; 0.750000, equiv; 0.280000
./multLibs/EQ_oneN2/6 , not equiv; 5.500000, not equiv; 1.760000, equiv; 0.910000
./multLibs/EQ_oneN2/7 , not equiv; 13.750000, not equiv; 6.470000, equiv; 2.880000
./multLibs/EQ_oneN2/8 , not equiv; 14.640000, not equiv; 16.370000, equiv; 9.770000
./multLibs/EQ_oneN2/9 , not equiv; 15.780000, not equiv; 52.920000, equiv; 39.340000
./multLibs/EQ_pos/1 , equiv; 11.760000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_pos/10 , equiv; 204.090000, timeout; 300.000000, unknown; 0.410000
./multLibs/EQ_pos/11 , timeout; 300.000000, timeout; 300.000000, unknown; 0.850000
./multLibs/EQ_pos/12 , timeout; 300.000000, timeout; 300.000000, unknown; 1.880000
./multLibs/EQ_pos/13 , timeout; 300.000000, timeout; 300.000000, unknown; 4.020000
./multLibs/EQ_pos/14 , timeout; 300.000000, timeout; 300.000000, unknown; 8.610000
./multLibs/EQ_pos/15 , timeout; 300.000000, timeout; 300.000000, unknown; 18.770000
./multLibs/EQ_pos/2 , equiv; 15.120000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_pos/3 , equiv; 21.820000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_pos/4 , equiv; 32.700000, timeout; 300.000000, unknown; 0.020000
./multLibs/EQ_pos/5 , equiv; 47.900000, timeout; 300.000000, unknown; 0.030000
./multLibs/EQ_pos/6 , equiv; 63.780000, timeout; 300.000000, unknown; 0.040000
./multLibs/EQ_pos/7 , equiv; 84.580000, timeout; 300.000000, unknown; 0.060000
./multLibs/EQ_pos/8 , equiv; 99.290000, timeout; 300.000000, unknown; 0.110000
./multLibs/EQ_pos/9 , equiv; 165.120000, timeout; 300.000000, unknown; 0.200000
