Instance Name, CC2 Result, CLEVER Result, Reve Result
./nestedMerge/EQ_posEQ_LoopMult20/libA , equiv; 0.525400, equiv; 0.150600, equiv; 0.040000
./nestedMerge/EQ_posEQ_LoopUnreach20/libA , equiv; 0.539100, equiv; 0.149000, equiv; 0.020000
./nestedMerge/EQ_posEQ_UnchLoop/libA , equiv; 0.300100, equiv; 0.130600, equiv; 0.600000
./nestedMerge/EQ_posEQ_divide/libA , equiv; 0.366100, equiv; 0.156700, equiv; 0.030000
./nestedMerge/EQ_posEQ_getSign2/libA , equiv; 0.473700, equiv; 0.138900, equiv; 0.030000
./nestedMerge/EQ_posEQ_is_prime1/libA , equiv; 0.500100, equiv; 0.131600, unknown; 0.020000
./nestedMerge/EQ_posEQ_is_prime2/libA , equiv; 0.705200, equiv; 0.155800, unknown; 0.030000
./nestedMerge/EQ_posEQ_is_prime3/libA , equiv; 3.234900, equiv; 1.482900, unknown; 0.020000
./nestedMerge/EQ_posEQ_ltfive/libA , not equiv; 1.099900, not equiv; 0.249700, equiv; 0.040000
./nestedMerge/EQ_posEQ_ltfiveBound/libA , equiv; 0.875300, equiv; 0.261700, equiv; 0.070000
./nestedMerge/EQ_posEQ_multiple/libA , not equiv; 1.181800, not equiv; 0.352700, equiv; 0.020000
./nestedMerge/EQ_posEQ_multipleBound/libA , equiv; 0.839600, equiv; 0.467800, equiv; 0.040000
./nestedMerge/EQ_posEQ_odd/libA , equiv; 24.732200, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_posEQ_one/libA , not equiv; 0.974800, not equiv; 0.206300, not equiv; 0.030000
./nestedMerge/EQ_posEQ_oneBound/libA , equiv; 0.772800, equiv; 0.254000, equiv; 0.050000
./nestedMerge/EQ_posEQ_oneN2/libA , not equiv; 0.987000, not equiv; 0.222400, equiv; 0.030000
./nestedMerge/EQ_posEQ_pos/libA , equiv; 23.337000, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_posEQ_pos2/libA , equiv; 0.485300, timeout; 300.000000, not equiv; 0.040000
./nestedMerge/EQ_posEQ_pos3/libA , equiv; 0.346800, equiv; 0.176900, equiv; 0.030000
./nestedMerge/EQ_posEXTRA_ultra_prime_sum/libA , equiv; 141.720100, equiv; 0.192300, unknown; 0.300000
./nestedMerge/EQ_posNEQ_LoopMult20/libA , equiv; 0.506400, equiv; 0.156200, equiv; 0.040000
./nestedMerge/EQ_posNEQ_LoopUnreach20/libA , equiv; 0.519500, equiv; 0.158200, equiv; 0.030000
